price,square,ngang,huong,duong,district
2.37,100,5,W,5.5,camle
4.8,125,5,EN,7.5,camle
0.427,170,6,E,12,camle
1.866,153,4,ES,2.5,camle
3.9,112,5,EN,7.5,camle
2.02,100,5,N,5.5,camle
6.9,249,10,EN,7.5,camle
28,250,10,W,33,camle
7.3,200,10,EN,33,camle
1.55,72,4,WN,3,camle
2.2,120,5,W,5.5,camle
3.5,100,5,ES,7.5,camle
3.7,99,5,N,7.5,camle
3.85,125,5,ES,10,camle
9.9,100,5,EN,33,camle
2.42,100,5,EN,5.5,camle
3.8,147,9,WN,5.5,camle
4.05,100,5,ES,7.5,camle
3.5,136,---,E,5.5,camle
2.45,100,---,E,5.5,camle
2.35,92,5,N,7.5,camle
4.2,125,---,W,10,camle
2.8,100,5,EN,7.5,camle
14.3,493,18,WS,7,camle
2.2,100,5,W,5,camle
3.1,97,---,_,7.5,camle
1,220,8.8,E,26,camle
5.5,100,5,WS,10,camle
2.02,100,5,E,5,camle
2.4,100,5,W,5.5,camle
11.2,240,8,E,10,camle
30,250,10,WN,33,camle
6.5,205,8.8,EN,7.5,camle
2.9,100,---,ES,4,camle
4.8,125,---,EN,7,camle
2.35,90,5,E,5.5,camle
2.5,90,6,_,5.5,camle
1.9,98,5.5,_,3.5,camle
2.68,100,12,_,33,camle
3.65,100,5,W,10,camle
3.6,122,5,EN,7.5,camle
3.05,100,5,N,5.5,camle
7.6,250,10,EN,7,camle
3.1,100,5,EN,7.5,camle
8.7,98,5,WN,15,camle
1.49,100,---,_,3,camle
3.7,88,5,W,11,camle
2.2,117,5,W,5.5,camle
2.75,100,5,_,75,camle
2.15,100,5,N,5,camle
2.37,90,5,E,5.5,camle
2.05,90,6.64,EN,5,camle
2.4,100,5,_,5.5,camle
2.13,100,---,W,5.5,camle
1.42,100,4,EN,2.5,camle
2.42,100,5,E,5.5,camle
2.23,100,5,E,5.5,camle
3.9,88,5,WN,7.5,camle
7.5,95,5,E,7.5,camle
1.35,70,6.1,WS,3,camle
4.25,159,8.2,WS,10,camle
3.5,120,5,EN,10,camle
1.49,100,5,WN,2.5,camle
3.3,100,5,WN,7.5,camle
2.69,100,5,S,7.5,camle
2.8,72,---,_,5.5,camle
1.35,100,5,N,4,camle
8.5,250,10,ES,7.5,camle
2.05,100,5,N,5,camle
2.2,80,5,W,5,camle
2.78,100,5,WN,7.5,camle
4.8,407,---,ES,6,camle
9,315,12,WS,7.5,camle
7.4,100,5,WS,48,camle
4.75,100,5,WS,7,camle
3.6,86,5,W,10,camle
4.5,150,7.5,W,7.5,camle
2.15,100,5,E,5.5,camle
6.5,205,8.8,E,7.5,camle
6.5,147,7,EN,10,camle
2.35,90,5,E,5.5,camle
3.3,100,5,WN,7.5,camle
5.5,100,5,S,7.5,camle
2.1,100,5,E,5.5,camle
7.25,100,5,WS,33,camle
2.5,100,5,WS,5.5,camle
6.4,146,7.5,WS,10,camle
3.05,100,5,N,5.5,camle
11,120,5,_,15,camle
5.8,100,5,EN,10,camle
7,249,12,EN,7.5,camle
6.2,206,---,_,8,camle
3.97,100,5,WS,7.5,camle
2.42,100,5,E,5.5,camle
6,107,5,WS,15,camle
2.65,100,5,E,5.5,camle
2.3,98,5,W,7.5,camle
3.05,100,5,ES,7.5,camle
2.25,100,---,_,5.5,camle
2.35,115,5,W,5,camle
1.55,85,5,S,4,camle
2.4,100,5,EN,5.5,camle
3.8,147,9,WN,5,camle
3.35,122,5,S,10,camle
9.5,100,5,EN,40,camle
2.15,100,5,E,5.5,camle
0.48,170,6,E,12,camle
3.6,117,5,EN,7.5,camle
16.7,278,15,WS,25,camle
1.6,92,4.8,EN,3.5,camle
3.25,100,5,WS,7,camle
3,100,5,EN,10,camle
2,170,6,E,12,camle
1.73,77,---,_,3,camle
3.05,100,5,ES,75,camle
7,231,12,E,7.5,camle
3.88,113,5,EN,7.5,camle
2.39,100,5,E,5.5,camle
4.3,137,---,_,9,camle
3.2,100,5,W,10,camle
7.3,100,5,N,15,camle
3.2,100,5,W,10,camle
2.05,100,5,S,5.5,camle
2.41,100,---,_,7.5,camle
5.2,85,---,EN,7,camle
4.7,90,6.5,ES,5,camle
2.35,90,5,E,5.5,camle
2.05,100,5,_,5.5,camle
19,278,15,W,33,camle
2.74,100,5,S,7.5,camle
3.25,100,---,_,7,camle
2.29,115,5,W,5.5,camle
6.1,100,5,ES,10,camle
2.12,100,5,E,5.5,camle
2.95,100,5,N,7.5,camle
7,250,12,EN,7.5,camle
5.2,150,---,EN,7.5,camle
3.85,200,8,_,5,camle
2.4,100,5,W,5.5,camle
2.15,100,5,N,5.5,camle
1.49,100,5,WN,2.5,camle
6,100,5,ES,10,camle
11,120,5,WS,24,camle
9.2,100,5,EN,47,camle
11.2,239,8.14,E,10,camle
4.86,125,5,EN,7.5,camle
2.85,100,5,EN,7.5,camle
2.8,100,---,S,10,camle
8.1,180,9,WS,10,camle
4.25,129,6.7,ES,7.5,camle
2.08,76,5,E,5,camle
6.85,91,5,E,15,camle
